year,git
1900,3.0547396363544976e-06
1901,3.0283501473604703e-06
1902,3.0316536670701075e-06
1903,3.0014383745375587e-06
1904,2.9123145850462606e-06
1905,2.901968303246706e-06
1906,2.944882031182975e-06
1907,2.920758821086825e-06
1908,2.84709826051507e-06
1909,2.850380951713305e-06
1910,2.9266089508642575e-06
1911,2.823301818872486e-06
1912,2.7300572063333154e-06
1913,2.722646805913038e-06
1914,2.636511193746368e-06
1915,2.59117021934279e-06
1916,2.528111541063741e-06
1917,2.3634833204206577e-06
1918,2.3930825006703216e-06
1919,2.540653343073375e-06
1920,2.3719200531299326e-06
1921,2.2984516233139274e-06
1922,2.383778922064396e-06
1923,2.2913577270498664e-06
1924,2.2410899061599465e-06
1925,2.2663932181136e-06
1926,2.1199137368707203e-06
1927,2.152760365398925e-06
1928,2.1148827694820023e-06
1929,1.998736609363862e-06
1930,1.962373273402461e-06
1931,2.081203644723116e-06
1932,2.162123662076608e-06
1933,2.1054706686689836e-06
1934,2.140002623361527e-06
1935,2.2354253133016755e-06
1936,2.2500539346635506e-06
1937,2.321845337454371e-06
1938,2.348999633535901e-06
1939,2.244238349443809e-06
1940,2.288863827613698e-06
1941,2.167639893611652e-06
1942,2.0544434684260134e-06
1943,2.015606436803604e-06
1944,1.953395050285118e-06
1945,1.820838211382839e-06
1946,1.71176986896171e-06
1947,1.5827837712224988e-06
1948,1.5448281049300152e-06
1949,1.5514798568411997e-06
1950,1.4868903528102756e-06
1951,1.3867548237353082e-06
1952,1.2684705552601372e-06
1953,1.2282843207296018e-06
1954,1.1894610533350454e-06
1955,1.1541044305626462e-06
1956,1.024445826455381e-06
1957,9.69837149763667e-07
1958,9.051787271476184e-07
1959,8.481521181887988e-07
1960,7.926390302210555e-07
1961,7.691073977054787e-07
1962,7.118798797429398e-07
1963,7.051182413826089e-07
1964,7.067073478797933e-07
1965,7.352896643299443e-07
1966,8.295885030357957e-07
1967,8.756895226724737e-07
1968,9.218143190992123e-07
1969,9.69238832177715e-07
1970,9.855825575349236e-07
1971,9.785765980398407e-07
1972,9.742893699434977e-07
1973,9.17782074338902e-07
1974,9.241383703998249e-07
1975,9.45313997492901e-07
1976,9.447214860561612e-07
1977,9.922678308222593e-07
1978,9.692582645064768e-07
1979,9.68289839420322e-07
1980,9.479986553222781e-07
1981,8.870464073749775e-07
1982,8.340499399699703e-07
1983,8.036106464714976e-07
1984,7.414076240560721e-07
1985,7.612006243107317e-07
1986,7.530327690931569e-07
1987,7.418775973227249e-07
1988,7.504386384685599e-07
1989,7.726837095235948e-07
1990,7.867443676851898e-07
1991,8.013331336899552e-07
1992,7.967958757555087e-07
1993,8.138653210413135e-07
1994,8.227916136352828e-07
1995,8.087405295295216e-07
1996,7.735302704402005e-07
1997,7.752840279603593e-07
1998,7.696704155283182e-07
1999,7.858776517163538e-07
2000,7.873478174198161e-07
2001,8.533535995931223e-07
2002,9.448401101508352e-07
2003,9.878481819214358e-07
2004,1.099540124219597e-06
2005,1.4276847082328459e-06
2006,1.5170556271944708e-06
2007,1.6449389477202203e-06
2008,1.7348662311178487e-06
