year,ngram
1950,0.0
1951,0.0
1952,0.0
1953,7.860126042099783e-11
1954,2.2493572877329322e-10
1955,2.9722825787916104e-10
1956,2.9722825787916104e-10
1957,4.802234800292484e-10
1958,5.358536907846506e-10
1959,6.372177269969065e-10
1960,5.586164665759088e-10
1961,5.097608406818515e-10
1962,4.3746831157598365e-10
1963,4.786750123259814e-10
1964,4.1283599554781906e-10
1965,6.451696280393041e-10
1966,5.800433070365532e-10
1967,8.24757888968313e-10
1968,1.0088696703444304e-09
1969,1.1115418585561088e-09
1970,1.1407305378074994e-09
1971,1.1295124716489573e-09
1972,1.6072811216881279e-09
1973,1.7394146282053872e-09
1974,1.4947000462736275e-09
1975,1.2458309939233914e-09
1976,1.3639906981666172e-09
1977,1.6653279311107383e-09
1978,1.7137496342657853e-09
1979,1.0660923413904504e-09
1980,9.263948100698574e-10
1981,1.1954683671560368e-09
1982,1.2671121770882872e-09
1983,1.0955928347084714e-09
1984,8.201160980484243e-10
1985,7.580429181189682e-10
1986,7.926548822074458e-10
1987,1.1476251020920663e-09
1988,1.0028523289573599e-09
1989,9.73706508279802e-10
1990,1.0387997129157611e-09
1991,1.1205067825973254e-09
1992,1.3907027355105787e-09
1993,1.352365981104648e-09
1994,1.1755375879068148e-09
1995,1.187917375577996e-09
1996,1.3984933607983204e-09
1997,1.5393951113829019e-09
1998,1.7642233626372468e-09
1999,1.766873084349133e-09
2000,2.050744510714456e-09
2001,2.1936514033831553e-09
2002,3.463241614122735e-09
2003,3.765278073457929e-09
2004,4.1005764815439855e-09
2005,4.145063149861374e-09
2006,4.409919281596804e-09
2007,4.734392566874135e-09
2008,5.305976491509767e-09
