year,search
1950,3.404746985324891e-05
1951,3.416077452129684e-05
1952,3.435067325578226e-05
1953,3.480537634459324e-05
1954,3.5337724381991264e-05
1955,3.608320392751401e-05
1956,3.665509523541134e-05
1957,3.700546793489983e-05
1958,3.749384736043534e-05
1959,3.797145473072305e-05
1960,3.8363291553520996e-05
1961,3.8938027760845474e-05
1962,3.939052216342783e-05
1963,4.012389451548058e-05
1964,4.128038926864974e-05
1965,4.262135917088017e-05
1966,4.3642865680989674e-05
1967,4.459870615391992e-05
1968,4.549855605416399e-05
1969,4.628369476579662e-05
1970,4.741704573721758e-05
1971,4.847750668497091e-05
1972,4.907702688277433e-05
1973,4.966349920973049e-05
1974,5.042228180432825e-05
1975,5.131476999460054e-05
1976,5.285589941195212e-05
1977,5.3433322526481266e-05
1978,5.357245806538101e-05
1979,5.398009463013815e-05
1980,5.495638937905564e-05
1981,5.572631978014085e-05
1982,5.6255168081926445e-05
1983,5.6866394256108575e-05
1984,5.8328770267378006e-05
1985,5.959508468679685e-05
1986,6.072831924289598e-05
1987,6.20291534037928e-05
1988,6.31437505944632e-05
1989,6.407195698037478e-05
1990,6.450272485380992e-05
1991,6.444945029215887e-05
1992,6.50779069733939e-05
1993,6.608737437220822e-05
1994,6.689155998174101e-05
1995,6.802702721740519e-05
1996,6.95668620340127e-05
1997,7.063804410531052e-05
1998,7.228608384528863e-05
1999,7.347080099862069e-05
2000,7.459177556613992e-05
2001,7.526349924903895e-05
2002,7.557546008943714e-05
2003,7.516311182241355e-05
2004,7.503042330167123e-05
2005,7.361640018643811e-05
2006,7.324342974849667e-05
2007,7.242906140163541e-05
2008,7.14936923031928e-05
