year,test case
1900,2.0631457076092374e-07
1901,2.1131333483026538e-07
1902,2.1454425791489484e-07
1903,2.1021494741749587e-07
1904,2.192815052077484e-07
1905,2.2705922374046038e-07
1906,2.226348345045283e-07
1907,2.1293891247101522e-07
1908,2.0689196235577712e-07
1909,2.0359985951147662e-07
1910,2.1740724979021513e-07
1911,2.163023781674513e-07
1912,2.199575602292368e-07
1913,2.2612619180303488e-07
1914,2.3001346351390695e-07
1915,2.4073317612354525e-07
1916,2.516771745929093e-07
1917,2.4870188448338535e-07
1918,2.4917691681431667e-07
1919,2.6101641432368136e-07
1920,2.68264003011609e-07
1921,2.7374314421584653e-07
1922,2.7076343250038395e-07
1923,2.7176524497463106e-07
1924,2.720267328218792e-07
1925,2.8001917533921575e-07
1926,2.72216405099763e-07
1927,2.7038463404746184e-07
1928,2.688283465041812e-07
1929,2.751928198969316e-07
1930,2.777441149451728e-07
1931,2.8248908685262517e-07
1932,2.8806106960083913e-07
1933,2.9621142516589316e-07
1934,3.0808253979687704e-07
1935,3.176723290770107e-07
1936,3.2563549520351185e-07
1937,3.3214096463650223e-07
1938,3.4121340166036263e-07
1939,3.3928407106031955e-07
1940,3.395527902024956e-07
1941,3.411887194358444e-07
1942,3.591100486184067e-07
1943,3.617821602931924e-07
1944,3.656889191461232e-07
1945,3.7589835853525854e-07
1946,3.9220111602844554e-07
1947,3.9032182387797677e-07
1948,3.884077516756536e-07
1949,3.730977401314054e-07
1950,3.724123709097122e-07
1951,3.655384830381081e-07
1952,3.5465157160225705e-07
1953,3.437089901581203e-07
1954,3.493036656111924e-07
1955,3.6312662895657664e-07
1956,3.655003248630757e-07
1957,3.6863187347080384e-07
1958,3.730506169371698e-07
1959,3.7860034142665556e-07
1960,3.756764905509564e-07
1961,3.7592134357769934e-07
1962,3.7621051416993267e-07
1963,3.773838963232785e-07
1964,3.790183273265159e-07
1965,3.9200453118480384e-07
1966,3.942949190007182e-07
1967,4.135708309149777e-07
1968,4.2691706474735316e-07
1969,4.275472105876231e-07
1970,4.4431357488455045e-07
1971,4.530976980277046e-07
1972,4.573048540480938e-07
1973,4.659722411101289e-07
1974,4.663253402473596e-07
1975,4.669133285720558e-07
1976,4.7054589913386735e-07
1977,4.61542867924436e-07
1978,4.6564541581314446e-07
1979,4.6212239876045456e-07
1980,4.686746259657022e-07
1981,4.74745117376837e-07
1982,4.851243115159118e-07
1983,4.899399560339848e-07
1984,5.04491002370092e-07
1985,5.19155085904848e-07
1986,5.301001887606358e-07
1987,5.445255055747111e-07
1988,5.687822895846953e-07
1989,5.908878831308227e-07
1990,6.466799667188232e-07
1991,6.665539201224289e-07
1992,6.764874943395885e-07
1993,7.038518106128322e-07
1994,7.06837072682122e-07
1995,7.04826894499482e-07
1996,7.159722404789395e-07
1997,6.738018214491603e-07
1998,6.725431619867907e-07
1999,6.964506675493405e-07
2000,7.060665276575102e-07
2001,7.388099366575521e-07
2002,7.84225846928166e-07
2003,7.917699593105811e-07
2004,8.092059472021771e-07
2005,8.06050138635328e-07
2006,8.036476420632729e-07
2007,8.051766030803264e-07
2008,7.898783138671206e-07
